"study","group","trial","condition","delay","embed","radius","RR_HR","DET_HR","maxL_HR","L_HR","ENTR_HR","LAM_HR","TT_HR","delay","embed","radius","RR_Resp","DET_Resp","maxL_Resp","L_Resp","ENTR_Resp","LAM_Resp","TT_Resp"
"Study1","G1","T3","SelfPaced",30,10,2.64562373610073,5.33729703185784,96.6435563186429,247,7.67640083012155,2.70335893732582,97.6214692955854,9.29442075337598,12.5,2,0.408805804177442,4.7298338921648,75.5332231804018,32,3.84093612123537,1.82936338113434,90.1420671027516,4.83301646373529
"Study1","G2","T3","SelfPaced",30,10,2.64562373610073,3.86780071255924,93.5150070070336,191,5.6486800930755,2.37258246696226,96.5243784993657,7.52693184172364,12.5,2,0.408805804177442,4.68261979931227,70.876742448317,36,3.48225588657271,1.65380697473878,82.485334661731,3.80019389047167
"Study1","G3","T1","SelfPaced",30,10,2.64562373610073,4.05395066373172,94.5425111028387,206,6.41526170475239,2.49942217818033,97.7569235830354,9.12411118293471,12.5,2,0.408805804177442,5.27004183160302,85.9610667763471,52,4.51160954035697,2.05972492065897,92.472676019602,5.3683536194747
"Study1","G3","T2","TurnTaking",30,10,2.64562373610073,4.54538592512797,92.2934582764961,142,6.1742580542771,2.50265248495655,94.9024375778424,8.15072330888345,12.5,2,0.408805804177442,3.85847076763791,65.1741672331747,29,3.02593172406828,1.37377514052759,77.8556084296397,3.71450441100156
"Study1","G3","T3","Synchronous",30,10,2.64562373610073,6.36561181033192,95.1234505239175,119,6.80426802210658,2.61858503935977,96.587486887964,8.87807786014204,12.5,2,0.408805804177442,5.52962197356176,85.2383970358814,46,4.58431002386009,2.07358267374218,91.3133775351014,5.4543389633081
"Study1","G4","T1","Synchronous",30,10,2.64562373610073,2.93877984003189,83.4842221704704,31,5.52412597515169,2.28528783487148,97.257801583605,8.57656270055192,12.5,2,0.408805804177442,4.02188729310589,73.7960869904123,32,3.58270577105014,1.68940708511947,79.2010289188557,3.83929718496127
"Study1","G4","T2","SelfPaced",30,10,2.64562373610073,4.21665192336768,91.3116137197002,114,6.32419372963254,2.50514754444483,96.9546029788753,8.48098211751348,12.5,2,0.408805804177442,3.96197390975806,81.0191546583048,49,3.8650344557118,1.82189412775784,86.5529835934656,4.26696387216304
"Study1","G4","T3","TurnTaking",30,10,2.64562373610073,3.24579498157358,89.9937076547112,27,4.57241635687732,2.09720525501232,95.4519513587076,5.70732347536967,12.5,2,0.408805804177442,3.67601286685058,75.549007357398,24,3.22652329749104,1.49690559179857,83.5255830434823,3.56576433121019
"Study2","G10","T1","Conversation",30,10,2.64562373610073,3.26348262041359,95.2867746288799,97,6.16551694027244,2.51234429965348,97.0101214574899,7.68859297288625,12.5,2,0.408805804177442,4.03681234200034,72.8863037084982,26,2.98592326309795,1.36169696168322,85.8393317144582,3.69013426954752
"Study2","G10","T2","TurnTaking",30,10,2.64562373610073,1.86659314655437,92.8496431310093,57,5.3921622362291,2.32479461692058,94.359700348021,6.22831334683071,12.5,2,0.408805804177442,4.43633578276643,76.4886316921228,26,3.26093697337378,1.5108643979932,84.5172026689435,3.8697446292509
