"study","group","trial","condition","delay","embed","radius","RR_HR","DET_HR","maxL_HR","L_HR","ENTR_HR","LAM_HR","TT_HR","delay","embed","radius","RR_Resp","DET_Resp","maxL_Resp","L_Resp","ENTR_Resp","LAM_Resp","TT_Resp"
"Study1","1_and_2","v1","SelfPaced",30,10,2.64562373610073,4.26612228066392,95.4400588379505,49,6.06296351231089,2.49034562494524,96.8024375722341,7.09931506849315,12.5,2,0.408805804177442,4.8180122157846,70.910424104167,25,3.53580529600768,1.68176110846212,83.2284059430874,3.82379963929629
"Study1","1_and_2","v2","SelfPaced",30,10,2.64562373610073,4.63182974756075,94.1076535988473,61,5.79654281740513,2.37391602698797,97.4065073869379,8.49254710790288,12.5,2,0.408805804177442,4.46001750006067,73.4529772287209,27,3.53605269239658,1.69259549351976,89.9169480405178,4.67043471033164
"Study1","1_and_2","v3","SelfPaced",30,10,2.64562373610073,6.10691128842282,97.2859239928234,111,8.80123948649845,2.5300758380581,98.2319360626325,12.2684864534528,12.5,2,0.408805804177442,4.65664338559086,72.5247524752475,27,3.51987949566705,1.67367531313551,84.7983018116053,3.90924185685014
"Study1","1_and_2","v4","SelfPaced",30,10,2.64562373610073,3.51045301807022,93.2525607922141,52,5.50825442051454,2.36916917665298,97.0618278807139,8.50298284862043,12.5,2,0.408805804177442,4.3809746077831,70.665569737796,23,3.43457777425868,1.63952706505378,89.2128992318783,4.61173102025348
"Study1","1_and_3","v1","SelfPaced",30,10,2.64562373610073,4.19759259600506,96.4559875657013,142,7.1368624352559,2.66462488056314,97.6851796922274,8.99901628593289,12.5,2,0.408805804177442,4.7079231310549,78.3095452857219,39,4.0124669877272,1.8824728487083,91.9631013651282,5.36271216407355
"Study1","1_and_3","v2","SelfPaced",30,10,2.64562373610073,3.51657885470761,94.768372303814,118,6.45399305555556,2.5198532527804,97.0952711410727,8.98885538219483,12.5,2,0.408805804177442,4.89916053950432,81.7624264320261,31,4.19500710068017,1.96029358320774,89.3508536798555,4.97517845554835
"Study1","1_and_3","v3","SelfPaced",30,10,2.64562373610073,3.24519931131651,97.3634131368938,80,8.93171899197522,2.61162993021215,98.2811540822591,13.3500104231812,12.5,2,0.408805804177442,4.16532846871614,76.2405332236729,31,3.72752785456982,1.75848847468441,91.2991329974984,4.9917092135463
"Study1","1_and_3","v4","SelfPaced",30,10,2.64562373610073,2.32134346071919,92.0660802402918,60,4.67145656433703,2.13266300784674,95.4687835228492,6.85639445300462,12.5,2,0.408805804177442,5.2231828699243,82.8036182772191,35,4.38678152598813,2.03021301692168,90.5457477044163,4.97391630699944
"Study1","1_and_4","v1","SelfPaced",30,10,2.64562373610073,5.62783534847891,96.9523832678912,161,8.49621817407052,2.82454549539304,97.8957221526604,10.4354023584294,12.5,2,0.408805804177442,4.4758035247325,74.7889637391883,37,3.6229541219721,1.72304462449785,89.3920492348636,4.38691903474313
"Study1","1_and_4","v2","SelfPaced",30,10,2.64562373610073,4.33104076744515,91.5600417022083,36,5.91097287375076,2.42367644081753,96.8391621647237,8.33741330069359,12.5,2,0.408805804177442,5.40602915749252,86.0953315430696,34,4.75468200399277,2.13634086314256,90.6803002134545,5.30787445211346
